model_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_context_mse,mean_context_psnr,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future
v4_main_text_r128_partial_step000000,5,2331.06994934082,26.610507106781007,17.19536717050702,0.6979664803651352,53.952660751342776,31.477809450073977,84.53513164520264,0.3723981908681938,0.9906130909506313,0.7265057150791951,0.7213945546686166,9.381512117385864,9.386698818206787,0.589088654556471,1.0781840396484865
v4_main_text_r128_partial_step000100,5,2320.8278564453126,26.59346208572388,17.225625973042536,0.6993195766504079,53.965121841430665,31.475964521633035,83.52495441436767,0.369526543996339,0.9993350070093608,0.7194557430255308,0.7147672173494148,9.327488279342651,9.327949285507202,0.5887320899167251,1.0824475534013027
v4_main_text_r128_partial_step000250,5,2330.1107696533204,26.62800178527832,17.21056710760671,0.6987410495938784,53.9704402923584,31.47605116434338,83.52507343292237,0.36835141671054006,0.9860303625456728,0.7209133147907322,0.7165616509377186,9.335020875930786,9.33677716255188,0.5843932551405899,1.079799110563639
v4_main_text_r128_partial_step000500,5,2324.993615722656,26.606808280944826,17.222211407494363,0.6993479260983174,53.9012996673584,31.483213831785566,82.31033725738526,0.3636502003254076,0.9922885480732075,0.7170690784020215,0.7123254153068378,9.31725254058838,9.318935441970826,0.5957696857679691,1.0817535645115424
v4_main_text_r128_partial_step000750,5,2329.966256713867,26.58561315536499,17.217707600867936,0.6985880873965307,53.88409996032715,31.483749250917775,82.7364854812622,0.3647545950716714,0.9812127945859478,0.7215200956113749,0.7167073981606475,9.349783086776734,9.35425944328308,0.6083409975398753,1.078076606877194
v4_main_text_r128_partial_step001000,5,2319.192041015625,26.600052642822266,17.22999435292996,0.7000909962088843,53.92434577941894,31.476095219762225,81.91306571960449,0.3622536493887026,0.9948682236111827,0.7175221503959456,0.7130011244663784,9.31641902923584,9.316739702224732,0.6094357244829303,1.0812328707424652
v4_main_text_r128_partial_step001500,5,2318.0527160644533,26.493183040618895,17.25149376189718,0.6993720557876886,53.822021484375,31.485922877158732,81.37574138641358,0.35975274767691806,0.9744168051957921,0.7180910136824092,0.7131865822143836,9.320283794403077,9.321163892745972,0.6097875303385576,1.0797367238655027
v4_main_text_r128_partial_step002000,5,2310.030563354492,26.411315822601317,17.26722933036499,0.6998408324003081,53.83894729614258,31.484283290479386,80.98618583679199,0.3580263196374295,0.9743041399918402,0.7128026250610029,0.7078774231393866,9.304356145858765,9.309013414382935,0.6143706900195139,1.0800555442331325
v4_main_text_r128_partial_step002500,5,2307.6499084472657,26.384943199157714,17.27044712104287,0.6999849099829729,53.84129676818848,31.48325907380805,80.97387733459473,0.35714282785655505,0.9701205636423879,0.7143901065459708,0.7090881908731458,9.310858488082886,9.311274433135987,0.6208212688276482,1.080980862326155
v4_main_text_r128_partial_step003000,5,2305.6576446533204,26.36220474243164,17.278892282215004,0.7003187819194886,53.84101181030273,31.4845304838719,80.88523998260499,0.3565277245004444,0.9701400107503619,0.7137548037085031,0.7088783650351556,9.312305927276611,9.316418218612672,0.626776000457624,1.081770430542654
v4_main_text_r128_partial_step004000,5,2307.7272613525392,26.382957172393798,17.275527361867347,0.7004593773916884,53.849627304077146,31.48373444855231,80.7096160888672,0.35631691276464794,0.9723996296955452,0.7114344609747831,0.7064869626989181,9.298915004730224,9.301181030273437,0.6157832844707658,1.0809151341855954
v4_main_text_r128_partial_step005000,5,2310.13649597168,26.417007064819337,17.268938647776046,0.7003700210266439,53.81874237060547,31.488002028813877,81.17640419006348,0.35865106710492023,0.9734085422963453,0.7117168931010729,0.7067465642797843,9.288988494873047,9.28745059967041,0.61402094810241,1.0809758459169891
v4_main_text_r128_partial_step006000,5,2294.7707611083983,26.373316860198976,17.285729034937816,0.7018055805531824,53.87564697265625,31.481327132331227,80.00085391998292,0.35404903301776935,0.9820991339981177,0.7076228324860715,0.7024821265181044,9.24895157814026,9.241782855987548,0.6200640717808256,1.0853176118986332
v4_main_text_r128_partial_step007000,5,2285.9342651367188,26.33530263900757,17.290751824979218,0.7022144783353446,53.890525817871094,31.479957793250502,79.33513374328614,0.35159743794324594,0.9750093618604645,0.706848865930026,0.7017310151206274,9.24659857749939,9.240034294128417,0.621971562841005,1.084331035177131
v4_main_text_r128_partial_step007992,5,2306.1787048339843,26.371138763427734,17.28224704387628,0.7007106483200587,53.784624099731445,31.490370447737757,80.61892776489258,0.3562575592864155,0.972528024769562,0.7122127179075213,0.707582540306545,9.298815202713012,9.30340747833252,0.6315924426669318,1.0812891354986092
v4_main_text_r128_partial_step009000,5,2308.2744903564453,26.381142711639406,17.26848654012589,0.7003923453761012,53.74025764465332,31.492175679803218,80.75183639526367,0.356162716129063,0.9719448822243641,0.7140209781654325,0.7086536638753801,9.30282621383667,9.306105661392213,0.6255170550544051,1.0805224741592325
v4_main_text_r128_partial_step010000,5,2282.206854248047,26.327177429199217,17.286512256000357,0.7025124951937727,53.79558486938477,31.487444452778114,79.022869682312,0.3510003109936875,0.9746133374667604,0.7087716734209699,0.7046538913763163,9.259799003601074,9.259937191009522,0.6350919350362167,1.0849475541102696
v4_main_text_r128_partial_step011000,5,2305.7839416503907,26.371473121643067,17.27773965756207,0.7004486175828657,53.77319488525391,31.491800960852125,80.33285617828369,0.35467440184310195,0.968961425706793,0.7121719672848175,0.7069357640017924,9.294486713409423,9.29510064125061,0.6158601009095869,1.0808756578896042
v4_main_text_r128_partial_step012000,5,2306.518179321289,26.424862480163576,17.27797233458707,0.7008343486784396,53.80027770996094,31.489679007329812,80.03216075897217,0.3540217872486539,0.9790203785088236,0.7107384988500991,0.7053767370201921,9.273752737045289,9.267564392089843,0.6227961748784143,1.0821149297672656
v4_main_text_r128_partial_step013000,5,2307.534518432617,26.35859441757202,17.275573427585307,0.7004985924873224,53.80499420166016,31.48756609295301,80.39420013427734,0.3555250912304329,0.9725293911696493,0.7093305820179497,0.704358970312587,9.286588525772094,9.290095043182372,0.6327002894962538,1.080128865292012
v4_main_text_r128_partial_step014000,5,2303.9711944580076,26.399975967407226,17.285066207512006,0.7012735966895963,53.872689437866214,31.4836481924321,79.1338399887085,0.3503612210828698,0.9750254313444151,0.7076876396801782,0.7024242054807032,9.258535766601563,9.2542329788208,0.6172312194045183,1.083798666657014
v4_main_text_r128_partial_step015000,5,2304.8945129394533,26.404596424102785,17.2757005045237,0.7010553973720486,53.843186950683595,31.48674109185937,79.42368831634522,0.35238972214465436,0.9833078510383171,0.7074009895156268,0.7020974596857512,9.26429271697998,9.262991285324096,0.6311068077077373,1.0832333140455088
v4_main_text_r32_3epoch_step007992,5,2309.8652282714843,26.44302406311035,17.260605937438914,0.7005251995202482,53.86994171142578,31.48284716543649,81.14910621643067,0.35829153112015494,0.9828570760768829,0.7122350708468475,0.7073841085516741,9.289296340942382,9.287053489685059,0.6326732735635573,1.0837193905842861
v4_main_text_r32_3epoch_step010000,5,2310.7695404052733,26.409343719482422,17.257212338088486,0.699808887866614,53.840217971801756,31.4814699701483,81.90861206054687,0.3624846965398329,0.9798038542902795,0.7167847482541578,0.7122433249322195,9.32914204597473,9.33639054298401,0.6286415917575969,1.0807828944534705
v4_main_text_r32_3epoch_step012000,5,2311.9114044189455,26.405699920654296,17.26123347137904,0.7001726230664251,53.878483581542966,31.48197045600569,82.2093952178955,0.3623931281105375,0.9779513741352603,0.7155434247842161,0.7102627636909503,9.321394395828246,9.326700067520141,0.6158972422735716,1.0807158723729517
v4_main_text_r32_3epoch_step014000,5,2310.068817138672,26.385341548919676,17.259489963442707,0.7002564918758176,53.84599304199219,31.485114766525168,81.48626136779785,0.3600366191369869,0.977817280168226,0.7159887281359182,0.711146064243293,9.322306251525879,9.327820014953613,0.6153303160585499,1.0811947153673684
v4_main_text_r32_3epoch_step015984,5,2314.9302490234377,26.42843704223633,17.255012314612422,0.7000496617756011,53.85947723388672,31.484716629384263,81.90915203094482,0.3606845998649202,0.9750910007373271,0.7186872674945836,0.7140747939831393,9.33564796447754,9.343520307540894,0.6194911604922109,1.081261852595534
v4_main_text_r32_3epoch_step018000,5,2305.681106567383,26.43256378173828,17.26097987618984,0.7008115634246666,53.839968872070315,31.48493623916488,80.90266418457031,0.35804497945656316,0.9862784401023841,0.7145494483515857,0.7101932005302772,9.293266487121581,9.293449115753173,0.6165018935150928,1.083498489089537
v4_main_text_r32_3epoch_step020000,5,2314.2798919677734,26.43158588409424,17.259129558738454,0.7001107296958692,53.883019256591794,31.481390977693387,81.82762718200684,0.3612524219167478,0.9761625251212921,0.7188473719059438,0.7141228172016079,9.334971952438355,9.339547920227051,0.6175122133629676,1.0807716360878192
v4_main_text_r32_3epoch_step022000,5,2309.2427734375,26.386476707458495,17.27022368554142,0.7011131215171219,53.80725517272949,31.48805860902251,81.6673454284668,0.3598334606197683,0.9730326016272256,0.7131357068110723,0.7079848719489436,9.300565671920776,9.300234651565551,0.6362054840003984,1.0799373896388347
v4_main_text_r32_3epoch_step023976,5,2310.6671813964845,26.391981506347655,17.25652648138014,0.7002194239325865,53.85699996948242,31.48258457358319,81.44846248626709,0.35950030416461665,0.9768982739429294,0.7147261832898053,0.7097582110111099,9.320401477813721,9.324287128448486,0.6151164124170653,1.080309026998254
v4_main_text_r64_3epoch_step007992,5,2306.5919982910154,26.437233448028564,17.261850422836762,0.700946509665268,53.846724319458005,31.485733846302555,80.73403053283691,0.3571938801079588,0.9870925140361484,0.7091200206540375,0.7035987953604061,9.265178680419922,9.26024956703186,0.6290702418352356,1.0839394502037973
v4_main_text_r64_3epoch_step010000,5,2281.2255859375,26.35820245742798,17.27813248157007,0.7030940938775887,53.802510833740236,31.488032916503734,81.69912681579589,0.36017266903173945,0.9834388189530741,0.7103601517506977,0.7058830091841719,9.276864433288575,9.273039960861206,0.6320522202340083,1.0855103361601723
v4_main_text_r64_3epoch_step012000,5,2302.68469543457,26.416406059265135,17.27050845941286,0.7018240520463093,53.91885757446289,31.478159237571667,80.821976852417,0.3582677859600656,0.9843656078308912,0.7106319160220933,0.7050677683198936,9.273234224319458,9.26391897201538,0.6211975952062057,1.0831565896201714
v4_main_text_r64_3epoch_step014000,5,2313.4281005859375,26.416399574279787,17.268270043059534,0.6999898194683755,53.825670623779295,31.484400202480252,81.46308002471923,0.3596298762596272,0.9747134349414337,0.7131035747350059,0.7082994127005334,9.3099365234375,9.315293741226196,0.6299907866423373,1.080445871806147
v4_main_text_r64_3epoch_step015984,5,2311.2898376464846,26.421245098114014,17.263588689233874,0.7005094549344631,53.81594963073731,31.486538009997776,81.20171451568604,0.357430317030266,0.9708872083114206,0.7139995487835122,0.7091061483404658,9.299030208587647,9.300033617019654,0.6156246168971157,1.0796098027936447
v4_main_text_r64_3epoch_step018000,5,2275.1656494140625,26.290185928344727,17.298057468976722,0.7042099722214946,53.80701370239258,31.486904098874493,80.60605335235596,0.3565115604538905,0.978143826251636,0.7090091263260321,0.704129485749555,9.262742376327514,9.256264352798462,0.6246506657784551,1.0865284178135792
v4_main_text_r64_3epoch_step020000,5,2317.0392364501954,26.433308124542236,17.25154208196835,0.6996732780889955,53.85448951721192,31.48575509322726,81.15675926208496,0.35838365041226034,0.9734240589688277,0.7156419511114304,0.7110219175001933,9.315827178955079,9.317448711395263,0.6201607117011856,1.0786691187155772
v4_main_text_r64_3epoch_step022000,5,2289.6987121582033,26.374052143096925,17.279482791875967,0.7024196404452093,53.823224258422854,31.48716390238702,79.73180904388428,0.3530554456591001,0.9793300558329537,0.71068913568025,0.7054084259253716,9.266955041885376,9.261392641067506,0.6255089198958231,1.0844645123325667
v4_main_text_r64_3epoch_step023976,5,2310.0344116210936,26.396967029571535,17.268756475341235,0.7004487027102577,53.82902793884277,31.48484580298135,81.1179334640503,0.3592622981954884,0.9733018800750471,0.7107900182383851,0.7056017903858346,9.285299968719482,9.285406398773194,0.6171607152733241,1.0799469638955237
