stratum,model_key,counterfactual_action_mode,num_clips,mean_future_mse,mean_future_mae,mean_future_psnr,mean_future_global_ssim,mean_generated_future_laplacian_sharpness,mean_sharpness_ratio_generated_over_reference,mean_fft_high_frequency_energy_ratio_generated_over_reference,mean_motion_ratio_generated_over_reference,mean_low_frequency_motion_ratio_generated_over_reference,mean_temporal_delta_error_mae,mean_low_frequency_temporal_delta_error_mae,mean_boundary_mae_ratio_generated_over_reference,mean_copy_leakage_ratio_min_context_over_future
accelerate,noaction_shifted_step003000,correct,408,2316.445340165905,27.382546764962814,16.18066098622411,0.6471025417698593,66.86711039496403,0.2754621223047651,0.9708203585932736,0.8011031803966395,0.7876840747059404,7.934986426841979,7.9495611810216715,1.1082793279922856,1.0338759213942983
accelerate,v4_r64_selected_step018000,correct,408,2297.804910435396,27.419031353557813,16.283314237954695,0.6503176913487431,64.64300782657138,0.25797214485477954,0.9354838802523989,0.7764811646216767,0.763887425921784,7.86697823890284,7.881310121393671,1.103735119820929,1.0314648888360796
accelerate,v4_r64_selected_step018000,reversed_future,408,2301.420852128197,27.44631809346816,16.276406286915467,0.6495791582180948,64.95069055580625,0.2592102259764136,0.9402443566967693,0.7791591222607389,0.7663016080706647,7.870629048522781,7.884802463300088,1.100620679466049,1.031358951902854
accelerate,v4_r64_selected_step018000,shuffled,408,2297.6900723588233,27.424827837476542,16.279892932732515,0.6496385798653738,64.66575437433579,0.2578949646892682,0.9367461859811013,0.7774827323732733,0.7647709758380271,7.865083566191149,7.879229945002818,1.1029786099624617,1.0319663290452332
accelerate,v4_r64_selected_step018000,zero,408,2299.518504413904,27.431939314393436,16.278853626360892,0.649672262260595,64.77960184742423,0.25775704652814696,0.9384580856160221,0.7762723071082916,0.7636603520854982,7.866506577122445,7.88069008816691,1.1090686472441578,1.0293117875622024
all,noaction_shifted_step003000,correct,1904,1940.8303929577355,24.41575424360628,17.152755942547092,0.7078929567255967,67.52768877812294,0.24340030997439677,0.9224652132408949,1.1466519061369118,1.097281382916255,7.104068531130417,7.123811030697797,0.8744331512548235,1.2025310566092036
all,v4_r64_selected_step018000,correct,1904,1945.0821645880947,24.589242831498634,17.179893340914873,0.7081620769900965,66.06067501121208,0.23261773954374249,0.8950769423222793,1.135900816144821,1.0869094342908212,7.071160680872678,7.089938670803769,0.9118777801178145,1.1984528908312935
all,v4_r64_selected_step018000,reversed_future,1904,1945.6718105187938,24.5940229181482,17.181862811005995,0.707996654998699,66.00745834034531,0.23259012945999635,0.8950460296841383,1.139238511755614,1.089813967529996,7.073199373458614,7.092169883840976,0.9137536018624506,1.1982031129131037
all,v4_r64_selected_step018000,shuffled,1904,1943.8262791653642,24.58166511770056,17.18640330072838,0.708023005390209,66.01237554860717,0.23249022219315751,0.8947352770319982,1.1346878570747563,1.0856042706978322,7.067813112016986,7.086617829450288,0.9177066574160305,1.1986870380836212
all,v4_r64_selected_step018000,zero,1904,1944.8500255396386,24.588132021306944,17.18399060361787,0.708028318561632,66.02004712657268,0.2322448804019593,0.8947960276693231,1.1399652989325717,1.0903515115720679,7.071359187677628,7.09029048042638,0.9230632300530802,1.1981806553755667
brake,noaction_shifted_step003000,correct,402,1752.1451982147064,23.202671979790303,17.38175406455046,0.7264932942687777,66.07729679612972,0.24185864861820933,0.909046171195212,0.9440906688754489,0.9269232768398958,6.971886400559648,6.983627025464281,0.5750162903430897,1.2842396051427356
brake,v4_r64_selected_step018000,correct,402,1769.5323719195464,23.51236982843769,17.364017270621506,0.7257255604277,63.76649903005629,0.2316291621661168,0.8801502559295835,0.9367120613043145,0.9193773547477189,6.946031817156284,6.956069223026731,0.651721200358009,1.2756838436721027
brake,v4_r64_selected_step018000,reversed_future,402,1769.2603015235406,23.51147418947362,17.363007058077837,0.7256776265042859,63.67290475060098,0.23121863371071727,0.8809478907480034,0.9362245842427095,0.9189763680165515,6.945999829923336,6.956817844020787,0.6505653713672379,1.2753445496935572
brake,v4_r64_selected_step018000,shuffled,402,1768.7905891285607,23.507034229401924,17.36651756811985,0.7258510603322283,63.684097924042696,0.2312094439246093,0.8804979960295047,0.935237745682538,0.9179101704669933,6.942081740246484,6.952533162351864,0.6516151255186906,1.2761549091879973
brake,v4_r64_selected_step018000,zero,402,1769.1845621991513,23.506889546095437,17.364449727964804,0.7257402040334944,63.64456079195981,0.23104706089227606,0.880306678251586,0.9355889727742842,0.9182730863785629,6.9439279401480265,6.9543855110211155,0.6509262711713021,1.2756912244794865
high_action,noaction_shifted_step003000,correct,1055,2083.4258941541916,25.586620046968143,16.6934680624932,0.6826069507696207,66.8134686842914,0.2669066123567475,0.9540560078303794,0.8463424930002478,0.8321526469306436,7.8001159238589315,7.8142220284701525,0.7919221979128218,1.1648442448681446
high_action,v4_r64_selected_step018000,correct,1055,2089.1909504461064,25.790472812562193,16.722222398612654,0.6835031174996722,64.46337565223187,0.25177123050304334,0.9206124828750754,0.8335823864798895,0.8195116682254152,7.755450513012601,7.7685162478713625,0.8340352160505784,1.1587770117676601
high_action,v4_r64_selected_step018000,reversed_future,1055,2091.6511483323516,25.806500008207927,16.71841544970023,0.6831209050683905,64.52034173282966,0.2521748959189115,0.9220007832695127,0.8344036963617956,0.8202806014481028,7.757882907379295,7.771200858925191,0.8318245019251662,1.158045500845326
high_action,v4_r64_selected_step018000,shuffled,1055,2088.707287312006,25.78793113898327,16.721927305064863,0.683305780037346,64.44924251931539,0.25168463463870605,0.9209873904100909,0.8332317993419196,0.8191094214349524,7.7524513173442315,7.765626678421599,0.8329295125768054,1.1587627710683235
high_action,v4_r64_selected_step018000,zero,1055,2089.9955265714093,25.793548153700986,16.72055575955916,0.6832618701945833,64.46175429018753,0.25140548766761867,0.9215589267242319,0.8331225832387615,0.8190895939042123,7.754619032059801,7.767993763498786,0.836243108975462,1.1575816485022508
low_action,noaction_shifted_step003000,correct,571,1763.486517476952,22.740555796648284,17.84113944725842,0.7366060749949733,67.79789905915536,0.20878680345656103,0.8771013496910991,1.8269159339120427,1.6969915271418443,5.77129868612398,5.798192725029176,1.126511083531021,1.1912609783497161
low_action,v4_r64_selected_step018000,correct,571,1745.4146694978356,22.741218569399805,17.88637945095922,0.7367133892113518,66.03255112200401,0.2004469412720511,0.8461716627200346,1.818010280445846,1.68909532236562,5.768662388343527,5.794910323077033,1.1398521799363015,1.1907453019134144
low_action,v4_r64_selected_step018000,reversed_future,571,1745.7768464698056,22.743601833249976,17.89884988317709,0.7366682274314609,65.73523198660534,0.19971481150529827,0.8433148009819126,1.827888298527377,1.6976363549887108,5.774384477092589,5.800766400092537,1.1525445153947274,1.1912277634335626
low_action,v4_r64_selected_step018000,shuffled,571,1741.830696079234,22.71692785239679,17.909194818202145,0.7366235826994292,65.86121103642492,0.20023539007056457,0.8447494878219443,1.813894531876234,1.6847222675603633,5.7619199115006605,5.788112782555161,1.1626753508664216,1.1914905713964767
low_action,v4_r64_selected_step018000,zero,571,1742.94992918559,22.7241795284318,17.904671932982975,0.7368774852345852,65.92432101428405,0.2001704808643925,0.8447882343651207,1.82931391147368,1.6984124195109986,5.769235538726512,5.795371234625734,1.175349342463185,1.1919637938979324
turning,noaction_shifted_step003000,correct,509,2345.4934979796644,27.148880697186662,16.35931106867449,0.6472573458883661,66.1026606526965,0.3054179209572137,1.015281311866052,0.7804857763786441,0.7680680791335744,8.873537028702398,8.888058556086422,0.7660051716870726,1.1233103290130475
turning,v4_r64_selected_step018000,correct,509,2336.0720034676124,27.224081755152856,16.407970894066455,0.6488985744853734,63.60213284173977,0.2821451805225681,0.9664471998223553,0.7694077290998944,0.7568694643188886,8.822538123852143,8.835896697868767,0.7912349313791969,1.116354365968976
turning,v4_r64_selected_step018000,reversed_future,509,2339.8351566562014,27.247031719604973,16.401539065526755,0.6481907249449043,63.4932056386719,0.2821748700062935,0.9672310326852394,0.7708710995721259,0.7582734010381309,8.825934826039612,8.839586091182086,0.7883195905113383,1.1146916451161957
turning,v4_r64_selected_step018000,shuffled,509,2334.9500184049775,27.219728854878245,16.405800201187013,0.6484514695657911,63.491957705241056,0.2819108530129499,0.9666008461801708,0.7691237755616597,0.7564959436339028,8.817223721028311,8.830669078939321,0.7883338988023854,1.1158509185329724
turning,v4_r64_selected_step018000,zero,509,2337.569335817588,27.23123151614296,16.404016634053004,0.6484351776641857,63.50393694697757,0.2811711751388294,0.9678780238189185,0.7693732956971099,0.7569253261036946,8.822684002297333,8.836498537560109,0.7961816343037529,1.1146418728343646
